"lonmin" "latmin" "moran" "distance" "entropy" "slope" "rsquaredslope" "pop" "max" "meanBetweenness" "alphaBetweenness" "meanCloseness" "alphaCloseness" "meanLinkLength" "networkPerf" "meanPathLength" "diameter" "components" "clustCoef" "vcount" "ecount" "networkDensity"
"alphaBetweenness" 0.169722650750679 0.463594090994896 -0.0200715551830741 -0.252848035805162 -0.543223489123225 0.285600336859111 -0.206776277546451 -0.198438164339972 -0.328050769558714 0.0712229877067657 1 0.121075167601421 0.175092740299826 0.602724416829894 -0.174468293986882 -0.157241754942341 -0.299368213205184 -0.498729668770562 -0.318874656418889 -0.413116345622652 -0.38427833615293 0.46218325947518
"meanCloseness" 0.00654814473414727 0.0439857337019528 -0.000143102699039825 -0.0727081864780509 -0.06292297584363 0.069191464162092 -0.0588507346369924 -0.0326022281664397 -0.0503902040094151 0.108249653383636 0.121075167601421 1 -0.0451417713050837 0.0109944696438776 -0.0271407666250805 -0.17342277459908 -0.169746601319879 -0.153681714902462 -0.00913731951076871 -0.0622469747650185 -0.054893779942013 0.285372605154506
"alphaCloseness" -0.09241080045769 -0.00657402164052125 0.0122205017161977 0.0938773037666117 -0.080683904392703 -0.2178589505585 0.135816775882032 0.138444186316041 0.161400150360451 -0.694978211369536 0.175092740299826 -0.0451417713050837 1 -0.168763796287629 0.222139447535996 0.0288669475924495 -0.0558788166855045 0.0150940889195399 0.055479913282659 0.311922946616813 0.29940826321746 -0.140057705907687
"meanLinkLength" 0.166182916004222 0.385277275393444 -0.00823299041660528 -0.285983722535757 -0.482052546623768 0.252792300740916 -0.223516432634194 -0.12334751290873 -0.237799553332801 0.222533582031068 0.602724416829894 0.0109944696438776 -0.168763796287629 1 -0.0994297107992348 0.162933864763395 -0.0893563798755708 -0.249608503057899 -0.260411928364813 -0.284451246064891 -0.259879080030467 0.758405386098757
"networkPerf" -0.10968343506087 -0.0528546541110298 0.104481417436319 0.0518425996722201 0.0718207064467716 -0.19082618912512 -0.0165650966715738 0.520050054254491 0.369431624791493 -0.163696125966116 -0.174468293986882 -0.0271407666250805 0.222139447535996 -0.0994297107992348 1 0.0247343896154333 -0.00470285725165201 0.169507022716321 0.131238836733541 0.816169358544264 0.853937274441113 -0.0839687589677284
"meanPathLength" -0.0878441424137938 -0.07197011104488 -0.0422481353172475 0.124366429794148 0.110762826611696 -0.0183996135239063 0.0886504702060991 0.038201694502851 0.0633118385171254 0.189453981505788 -0.157241754942341 -0.17342277459908 0.0288669475924495 0.162933864763395 0.0247343896154333 1 0.665208351922619 -0.0173309846805599 -0.0778066166400934 0.0946266518761141 0.0755451381437921 -0.0963890659922322
"diameter" -0.135682159931491 -0.295835158655397 0.00039197031305602 0.157561056489114 0.232390687360769 0.0160392925048202 0.0660561645936863 0.00755410764151753 0.0633798354934275 0.101265490527723 -0.299368213205184 -0.169746601319879 -0.0558788166855045 -0.0893563798755708 -0.00470285725165201 0.665208351922619 1 -0.0194584713857404 0.138458699643876 0.0731523968785683 0.0659946328560803 -0.333848205092665
"components" -0.0695247098476309 -0.220768969253599 0.0241682423411092 0.118699323458314 0.294168803362675 -0.215042758635446 0.117584184256929 0.205091171557566 0.277743051024867 -0.319661022318499 -0.498729668770562 -0.153681714902462 0.0150940889195399 -0.249608503057899 0.169507022716321 -0.0173309846805599 -0.0194584713857404 1 0.0283811224619862 0.360036731670251 0.324864909704913 -0.245579204086289
"clustCoef" -0.221319979197004 -0.344300467743484 0.0501508318089536 0.10285695168788 0.159639094726284 -0.0865262807499969 0.0735721092749814 0.112133180902396 0.183739679751156 -0.0789734018007451 -0.318874656418889 -0.00913731951076871 0.055479913282659 -0.260411928364813 0.131238836733541 -0.0778066166400934 0.138458699643876 0.0283811224619862 1 0.228409650646128 0.240125952989309 -0.168834772534787
"vcount" -0.237041869250505 -0.216755632479418 0.0921509304272382 0.151070568286921 0.230968786496784 -0.338493678503145 0.115174786488431 0.524338470446164 0.503639904334169 -0.301799306325694 -0.413116345622652 -0.0622469747650185 0.311922946616813 -0.284451246064891 0.816169358544264 0.0946266518761141 0.0731523968785683 0.360036731670251 0.228409650646128 1 0.993737941130367 -0.236689577907421
"ecount" -0.223607112142659 -0.207545012066718 0.0975583282967366 0.136713157809573 0.208351634219888 -0.322243151083393 0.0972682753024715 0.535618131211337 0.502404281064757 -0.28467672751293 -0.38427833615293 -0.054893779942013 0.29940826321746 -0.259879080030467 0.853937274441113 0.0755451381437921 0.0659946328560803 0.324864909704913 0.240125952989309 0.993737941130367 1 -0.214443308938008
"networkDensity" 0.142389067383119 0.2943042919383 -0.0110237554050933 -0.280307793061568 -0.369097670070635 0.1868608589881 -0.179895781726278 -0.100241226503395 -0.192661735557425 0.274942206175664 0.46218325947518 0.285372605154506 -0.140057705907687 0.758405386098757 -0.0839687589677284 -0.0963890659922322 -0.333848205092665 -0.245579204086289 -0.168834772534787 -0.236689577907421 -0.214443308938008 1
