"x";"y";"moran";"distance";"entropy";"slope"
"321";7101;51;NA;NA;NA;NA
"322";7151;51;0.0275872037533926;0.00490923365855158;0.79096998730218;-1.26979051574635
"323";7201;51;0.0247579888336742;0.00552997508063876;0.822268255746402;-1.21481004635505
"324";7251;51;0.0249400843064882;0.00440846261106028;0.823337423605036;-1.21464464997914
"325";7301;51;0.0269818588701704;0.00376593192315492;0.804126237283328;-1.29987998359451
"326";7351;51;0.0279912443484403;0.00380620058628682;0.822021726609714;-1.28034668204262
"327";7401;51;0.0289596356502408;0.00288770084551836;0.808398827898226;-1.3488564659583
"328";7451;51;0.0299649788595605;0.00242851503872807;0.775338555873723;-1.39793776119648
"329";7501;51;0.0422359873402624;0.00796561530572507;0.849781562524496;-1.31809650152617
"330";7551;51;0.0481732955597302;0.00722122150361927;0.861823686692281;-1.22847619378465
"331";7601;51;0.0504077437002146;0.00809600329358341;0.879622005118262;-1.14047696518884
"332";7651;51;0.0443293669672175;0.0120756216345383;0.872146135522873;-1.0055166386708
"333";7701;51;0.0470407764308789;0.0108495835404068;0.890322790516909;-0.880362919663814
"334";7751;51;0.0468785875667237;0.01055552768014;0.88880707488786;-0.897393312487759
"335";7801;51;0.0482968640956375;0.0109556753966384;0.870045751472162;-0.89799655258221
"336";7851;51;0.0417482813450022;0.00657785491261731;0.882368107063966;-0.938549682766462
"337";7901;51;0.034146408101808;0.00446119577453768;0.853934372212394;-1.01685355142981
"338";7951;51;0.0362546474777664;0.00540587278518527;0.867723386563271;-1.02896981000276
"339";8001;51;0.0302249909607365;0.00468225797139159;0.894738277316703;-0.973670086676964
"340";8051;51;0.10667232765909;0.0844163260689063;0.92675148568034;-0.864577523335101
"341";8101;51;0.0451907271591526;0.00483886676939472;0.757918259084063;-0.986664513170577
"342";8151;51;0.0483939560256333;0.00504665553638863;0.763167408409939;-1.09488962064028
"343";8201;51;0.0476953868796718;0.00462217458847405;0.754571349174959;-1.12760924501741
"344";8251;51;0.0483857664583687;0.00509395918947944;0.761384620847457;-1.08673686250997
"345";8301;51;0.0335024135532159;0.00268294637934949;0.866832255785575;-0.907521024403722
"346";8351;51;0.0363955180548131;0.00848036832494706;0.879065222853337;-0.6630658873741
"347";8401;51;0.0421840388820122;0.00850566837728478;0.820378561995172;-0.811537968339269
"348";8451;51;0.042295130840638;0.0059647431373421;0.735468658665773;-1.25771373623815
"349";8501;51;0.0416200647273567;0.00541260117582981;0.695221467821015;-1.40416735823011
"350";8551;51;0.0394288230188327;0.00435732933685679;0.696300317233994;-1.42119378343773
"351";8601;51;0.0465010024440115;0.020485174097775;0.74709186167608;-1.21970466774007
"352";8651;51;0.0474706609248473;0.0211267632884065;0.776516904497883;-1.06351359237711
"353";8701;51;0.0376843826029824;0.00200099162134016;0.660909257654378;-1.24997587116689
"354";8751;51;0.0368228990015155;0.00202333050100362;0.684194592392964;-1.28478898505867
"355";8801;51;0.0365282611845635;0.00206489008434389;0.688035782383744;-1.2555582940896
"356";8851;51;0.0376845207793881;0.0023836295707041;0.685392085955657;-1.43449826035087
