stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
channel inlet	inlet of the channel	inlet of the channel|&|channel inlet	4	4,72091812914	17,0285971779	220,819181061	3,0	14,0	 
mean velocity	mean velocity	mean velocity	2	7,86819688189	28,3809952965	79,5911012618	3,0	19,0	 
duct square	square duct	square duct	2	4,72091812914	22,2150558483	54,1750777991	3,0	28,0	 
roughness sublayer thickness	roughness sublayer before any thickness	roughness sublayer before any thickness|&|thickness of the roughness sublayer	5	3,9714236158	17,7644870324	85,0132931393	1,0	7,0	 
flow pattern	flow pattern	flow pattern	2	11,0154756347	51,8351303128	194,428313336	1,0	5,0	 
development length	development length	development length	2	9,44183625827	31,3409473332	77,9200515503	4,0	36,0	 
groundwater table	groundwater table	groundwater table	2	4,72091812914	22,2150558483	7,43685525311	1,0	1,0	 
boundary layer	boundary layer	boundary layer|&|boundary layers	2	4,72091812914	17,0285971779	65,3310864338	3,0	22,0	 
flow secondary	secondary flow	secondary flow	2	4,72091812914	18,9427647575	50,081633669	2,0	21,0	 
development flow laminar	laminar flow development	laminar flow development	3	3,9714236158	15,0117059503	54,3570677798	2,0	15,0	 
aorta development flow human model	flow development in the model human aorta	flow development in the model human aorta|&|flow development in a model human aorta	7	3,9714236158	15,0117059503	86,3460145529	2,0	17,0	 
flux profile radial solid	radial profile of the solids flux	radial profile of the solids flux|&|radial profile of solids flux	6	3,9714236158	17,7644870324	7,43685525311	1,0	1,0	 
field flow	flow field	flow field|&|flow fields	2	15,7363937638	41,3272752525	49,1395181609	8,0	43,0	 
conditioner flow	flow conditioner	flow conditioner|&|flow conditioners	2	4,72091812914	22,2150558483	53,930334981	1,0	7,0	 
aorta development flow human model past prosthesis steady valve	Steady flow development past valve prostheses in a model human aorta	Steady flow development past valve prostheses in a model human aorta	11	3,9714236158	15,0117059503	95,0168350043	2,0	19,0	 
flow primary	primary flow	primary flow	2	4,72091812914	17,0285971779	61,7474382785	3,0	32,0	 
Urban corporation development	Urban development corporations	Urban development corporations	3	3,9714236158	15,0117059503	396,332828538	2,0	4,0	 
layer shear	shear layer	shear layer	2	6,29455750551	22,7047962372	116,157142348	3,0	17,0	 
