"","theta","emp","empsd","th","beta"
"70",0.00398107170553497,1.16981276654471,0.0168862548465152,1.1972944967945,1.2
"71",0.00501187233627272,1.17119089553956,0.0145941323886326,1.19673976541232,1.2
"72",0.00630957344480193,1.17343249532554,0.0135559981729878,1.19607777149061,1.2
"73",0.00794328234724281,1.17766223578509,0.00951969032186614,1.19528955528971,1.2
"74",0.01,1.17992461165463,0.0109288765856724,1.19435328253524,1.2
"75",0.0125892541179417,1.180091404542,0.0105470480874649,1.1932439313855,1.2
"76",0.0158489319246111,1.18056342784179,0.0102442201684639,1.19193297537572,1.2
"77",0.0199526231496888,1.1803885181491,0.00893300015899643,1.19038806971454,1.2
"78",0.0251188643150958,1.18000221904014,0.00887916785961487,1.18857274902327,1.2
"79",0.0316227766016838,1.1810754439496,0.00927399102270698,1.18644614440456,1.2
