stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
integrated model	integrated model	integrated model|&|integrated models	2	9,44183625827	35,9400474821	194,424844595	5,0	52,0	 
time travel	travel time	travel time	2	4,72091812914	25,5680483596	767,583479853	1,0	3,0	 
entropy information	information entropy	information entropy	2	12,589115011	68,1814622922	211,90283756	1,0	4,0	 
system urban	urban systems	urban systems|&|urban system	2	14,1627543874	45,5853930559	289,131548842	9,0	64,0	 
extension real-time simulation	extensions for real-time simulation	extensions for real-time simulation	4	3,9714236158	17,8323762688	582,531657722	2,0	24,0	 
Land use	Land use	Land use	2	4,72091812914	20,3815896891	234,028042143	3,0	24,0	 
decision support	decision support	decision support	2	4,72091812914	20,3815896891	332,725548089	3,0	14,0	 
demand logistic urban	urban logistics demand	urban logistics demand	3	7,94284723159	35,6647525376	612,057692308	2,0	15,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	27,1754529188	666,556160506	3,0	5,0	 
land-use pattern	land-use patterns	land-use patterns	2	6,29455750551	29,7276763583	225,561244935	2,0	15,0	 
calibration growth model	growth model calibration	growth model calibration	3	3,9714236158	17,8323762688	193,914221734	2,0	15,0	 
alternative model	alternative model	alternative model	2	4,72091812914	22,2957572687	211,131561684	2,0	18,0	 
analysis system	system analysis	system analysis|&|analysis system	2	6,29455750551	27,1754529188	266,372112459	3,0	22,0	 
ecosystem service	ecosystem services	ecosystem services	2	6,29455750551	25,3646215704	195,477547124	4,0	36,0	 
change drive force local	local driving force for change	local driving force for change	5	3,9714236158	17,8323762688	207,701140654	2,0	35,0	 
analysis method	analysis method	analysis method	2	4,72091812914	22,2957572687	707,843814997	2,0	8,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	11,0154756347	41,9300553957	644,471149341	5,0	7,0	 
maker policy	policy makers	policy makers	2	4,72091812914	20,3815896891	324,077181783	3,0	31,0	 
application model	model application	model application|&|application of the model	2	4,72091812914	20,3815896891	275,232480787	3,0	16,0	 
growth population	population growth	population growth	2	11,0154756347	39,9216967292	214,751426576	9,0	107,0	 
dynamics landscape urban	urban landscape dynamics	urban landscape dynamics	3	5,95713542369	26,7485644032	405,173531199	2,0	7,0	 
activity human	human activities	human activities	2	4,72091812914	22,2957572687	214,876647254	2,0	19,0	 
land urban	urban land	urban land	2	14,1627543874	49,1446975776	225,649767497	7,0	66,0	 
framework library simulation	simulation library and framework	simulation library and framework	4	3,9714236158	17,8323762688	582,531657722	2,0	24,0	 
allocation land use	land use allocation	land use allocation	3	5,95713542369	26,7485644032	302,973277733	2,0	19,0	 
design network problem	network design problem	network design problem	3	11,9142708474	48,6663076892	825,248465847	3,0	13,0	 
allocation model	allocation model	allocation model	2	4,72091812914	22,2957572687	289,577921393	2,0	19,0	 
design network	network design	network design	2	4,72091812914	22,2957572687	860,048341695	4,0	14,0	 
development model	development of this model	development of this model|&|development model|&|model on the development|&|model development	4	6,29455750551	25,3646215704	206,726162261	4,0	31,0	 
information system	information system	information system|&|information systems	2	18,8836725165	60,7805240745	424,839401858	18,0	109,0	 
model programming	programming model	programming model	2	7,86819688189	33,9693161485	532,313357763	3,0	13,0	 
dynamics model system	system dynamics models	system dynamics models	3	3,9714236158	17,8323762688	210,132544869	2,0	25,0	 
support system	support systems	support systems|&|support system	2	9,44183625827	38,0469323557	342,47862865	4,0	22,0	 
modeling urban year	years of urban modeling	years of urban modeling	4	5,95713542369	26,7485644032	907,446649751	2,0	6,0	 
Urban modeling	Urban modeling	Urban modeling	2	4,72091812914	20,3815896891	200,319486592	3,0	19,0	 
modeling simulation	modeling and simulation	modeling and simulation	3	4,72091812914	22,2957572687	468,754965035	2,0	3,0	 
interaction land use	interaction of land use	interaction of land use	4	3,9714236158	17,8323762688	207,701140654	2,0	35,0	 
dynamics growth urban	urban growth dynamics	urban growth dynamics|&|dynamics of urban growth	3	7,94284723159	30,1591903734	251,132338802	4,0	30,0	 
land transport use	land use and transport	land use and transport	4	5,95713542369	26,7485644032	207,701140654	2,0	35,0	 
actual forecasting result	actual forecasting results	actual forecasting results	3	3,9714236158	17,8323762688	612,057692308	2,0	15,0	 
input-output model	input-output model	input-output model	2	4,72091812914	20,3815896891	617,957210206	3,0	14,0	 
generation new	new generation	new generation	2	4,72091812914	20,3815896891	642,760927382	3,0	17,0	 
model simulation	simulation model	simulation model|&|simulation models|&|model on simulation	2	26,7518693984	76,2684171464	227,307490336	14,0	99,0	 
network urban	urban network	urban network|&|network and urban	2	4,72091812914	22,2957572687	406,827869142	2,0	6,0	 
environment graphical runtime	graphical runtime environment	graphical runtime environment	3	3,9714236158	17,8323762688	582,531657722	2,0	24,0	 
region urban	urban region	urban region	2	4,72091812914	22,2957572687	336,833306655	2,0	14,0	 
atmosphere environmental simulation	atmosphere environmental simulation	atmosphere environmental simulation	3	3,9714236158	20,5851573509	219,728478188	1,0	2,0	 
function other several	several other functions	several other functions	3	3,9714236158	17,8323762688	582,531657722	2,0	24,0	 
growth scenario urban	urban growth scenarios	urban growth scenarios	3	3,9714236158	17,8323762688	307,796801738	2,0	17,0	 
framework model	model frameworks	model frameworks|&|model framework|&|framework model	2	6,29455750551	25,3646215704	430,232248471	4,0	43,0	 
demand forecasting logistic method urban	forecasting method of urban logistics demand	forecasting method of urban logistics demand	6	3,9714236158	17,8323762688	816,076923077	2,0	15,0	 
modeling process	modeling process	modeling process	2	4,72091812914	20,3815896891	463,602741784	3,0	16,0	 
planning urban	urban planning	urban planning	2	12,589115011	43,6841756246	262,248115715	7,0	43,0	 
land value	land values	land values	2	6,29455750551	29,7276763583	517,949689609	2,0	6,0	 
land-use planning	land-use planning	land-use planning	2	7,86819688189	33,9693161485	345,175598312	3,0	10,0	 
area sensitive	sensitive areas	sensitive areas	2	6,29455750551	29,7276763583	192,973927718	2,0	16,0	 
rate urbanization	urbanization rates	urbanization rates|&|rates of urbanization	2	4,72091812914	20,3815896891	196,458502164	3,0	28,0	 
information land system urban	urban land information system	urban land information system	4	5,95713542369	26,7485644032	602,568253011	2,0	12,0	 
chain design network supply	supply chain network design	supply chain network design	4	3,9714236158	20,5851573509	574,578351648	1,0	3,0	 
model urban	urban models	urban models	2	6,29455750551	25,3646215704	338,678634984	4,0	15,0	 
analysis policy	policy analysis	policy analysis	2	6,29455750551	29,7276763583	1561,66328064	2,0	7,0	 
modeling system	modeling system	modeling system|&|system modeling|&|modeling systems|&|systems modeling	2	15,7363937638	54,6052195307	223,007180407	7,0	33,0	 
green space	green space	green space	2	7,86819688189	37,1595954478	294,238662861	2,0	11,0	 
dynamic model	dynamic model	dynamic model|&|dynamic models	2	6,29455750551	25,3646215704	279,112804085	5,0	26,0	 
development sustainable	sustainable development	sustainable development	2	12,589115011	47,9200633094	298,948301605	5,0	37,0	 
logit spatial standalone	standalone spatial logit	standalone spatial logit	3	3,9714236158	20,5851573509	249,329586219	1,0	13,0	 
network transportation	transportation network	transportation network|&|transportation networks	2	17,3100331402	57,7543086522	341,331619812	8,0	58,0	 
decision maker planner	planners and decision makers	planners and decision makers	4	3,9714236158	17,8323762688	232,926064049	2,0	16,0	 
network road	road network	road network|&|Road network	2	14,1627543874	61,1447690673	486,064037711	3,0	21,0	 
3D modeling urban	3D urban modeling	3D urban modeling	3	3,9714236158	17,8323762688	617,09994371	2,0	10,0	 
3D model	3D models	3D models|&|3D model	2	9,44183625827	35,9400474821	965,182832723	5,0	13,0	 
area urban	urban area	urban area|&|urban areas	2	31,4727875276	81,2845341326	235,830018417	17,0	126,0	 
model system	system models	system models|&|system model|&|model system	2	7,86819688189	31,7057769631	293,349056311	4,0	19,0	 
city different	different cities	different cities	2	4,72091812914	20,3815896891	495,141813633	3,0	9,0	 
land structure	land structure	land structure	2	6,29455750551	29,7276763583	602,568253011	2,0	12,0	 
modeling urban	urban modeling	urban modeling	2	15,7363937638	50,6504367288	490,24373181	11,0	57,0	 
growth model	growth model	growth model|&|growth models	2	9,44183625827	35,9400474821	233,612457692	11,0	113,0	 
image satellite	satellite images	satellite images	2	4,72091812914	22,2957572687	364,548533636	2,0	14,0	 
calibration model	model calibration	model calibration|&|calibration model	2	7,86819688189	31,7057769631	196,321319818	5,0	46,0	 
modeling network	network modeling	network modeling	2	7,86819688189	33,9693161485	452,977956718	3,0	9,0	 
geographic information system	geographic information system	geographic information system|&|geographic information systems	3	19,857118079	61,6340705229	414,877258158	8,0	47,0	 
