stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
assignment problem traffic	traffic assignment problem	traffic assignment problem	3	19,857118079	75,2854707141	370,60504096	11,0	99,0	 
bi-level model programming	bi-level programming model	bi-level programming model	3	13,8999826553	54,8425212758	236,503652253	6,0	71,0	 
modeling traffic	traffic modeling	traffic modeling	2	6,29455750551	30,6623233662	212,072346184	3,0	30,0	 
simulation traffic	traffic simulation	traffic simulation|&|Traffic simulation	2	23,6045906457	89,051419271	312,78543356	21,0	180,0	 
management system traffic	traffic management system	traffic management system	3	5,95713542369	27,6331093128	263,579373688	3,0	17,0	 
example numerical	numerical example	numerical example	2	23,6045906457	76,9935895307	209,946553546	15,0	159,0	 
road safety	road safety	road safety	2	14,1627543874	68,990227574	261,126560312	3,0	16,0	 
assignment dynamic model traffic	dynamic traffic assignment model	dynamic traffic assignment model	4	15,8856944632	60,2283765713	233,6609967	7,0	70,0	 
model network neural	neural network model	neural network model	3	9,92855903949	50,0808664523	540,523634956	2,0	17,0	 
growth urban	urban growth	urban growth|&|Urban growth	2	51,9300994205	162,88616251	768,821967419	22,0	75,0	 
land use	land use	land use	2	15,7363937638	65,748171446	442,47243549	6,0	36,0	 
different level	different levels	different levels	2	6,29455750551	30,6623233662	206,665700832	3,0	31,0	 
modeling network	network modeling	network modeling	2	6,29455750551	33,2145468057	307,899722983	2,0	9,0	 
assignment problem	assignment problem	assignment problem|&|assignment problems	2	6,29455750551	28,8514920179	359,091215337	14,0	124,0	 
assignment solution	assignment solution	assignment solution	2	6,29455750551	33,2145468057	222,940720251	2,0	22,0	 
network transportation	transportation network	transportation network|&|transportation networks|&|network transportation	2	129,038428863	270,807136406	241,868061451	62,0	381,0	 
method solution	solution methods	solution methods	2	6,29455750551	30,6623233662	250,150718508	3,0	16,0	 
system traffic	traffic system	traffic system|&|traffic systems|&|Traffic system	2	20,4573118929	73,0727136967	248,059009451	15,0	130,0	 
information system	information systems	information systems|&|information system	2	17,3100331402	65,3043741321	250,811670344	11,0	70,0	 
measurement traffic	traffic measurements	traffic measurements	2	6,29455750551	30,6623233662	773,980214647	3,0	12,0	 
model result	model results	model results|&|model on the results	2	7,86819688189	36,0643650223	225,113023762	4,0	38,0	 
area urban	urban areas	urban areas|&|urban area	2	23,6045906457	76,9935895307	208,38219864	15,0	136,0	 
transportation urban	urban transportation	urban transportation	2	9,44183625827	43,2772380268	214,762556183	5,0	52,0	 
assignment model traffic	traffic assignment model	traffic assignment model|&|traffic assignment models	3	51,6285070053	141,541474948	317,602128688	27,0	271,0	 
optimization particle swarm	particle swarm optimization	particle swarm optimization	3	5,95713542369	27,6331093128	273,246356118	3,0	18,0	 
series time	time series	time series	2	7,86819688189	36,0643650223	261,73089777	4,0	32,0	 
information traffic	traffic information	traffic information|&|information traffic	2	20,4573118929	77,1778967015	225,926228476	12,0	90,0	 
model simulation traffic	traffic simulation model	traffic simulation model|&|traffic simulation models	3	13,8999826553	54,8425212758	338,068761663	6,0	56,0	 
