evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,mselog
8,4.856999003980505E-9,0.1777620519602637,0.0,9547.694542598236,7.017880574636249
8,8.358407049671748E-8,0.1777619733594547,0.0,5066.086834446468,7.01788057463625
8,0.0,0.177762057965027,0.0,6711.651970963031,7.017880574636251
8,7.935565434919724E-11,0.17776205234386336,0.0,1681.0876623772897,7.017880574636261
8,0.0,0.17776206024178978,0.0,3166.312258037255,7.017880574636252
8,1.799455625493179E-11,0.17776208317747283,0.0,1143.8875574814708,7.017880574636613
8,0.0,0.17776208701183077,0.0,7214.824180263596,7.017880574636721
8,0.0,0.17776205781992066,0.0,4316.148399134302,7.017880574636251
8,0.0,0.17776205510640422,0.0,10000.0,7.017880574636253
8,0.0,0.17776206267916797,0.0,8788.438280715753,7.017880574636264
8,0.0,0.17776205629347236,0.0,4051.943500916011,7.017880574636248
