stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
growth urban	urban growth	urban growth|&|Urban growth	2	51,9300994205	162,036223743	742,084084202	22,0	76,0	 
land use	land use	land use	2	15,7363937638	65,4906142439	425,248894028	6,0	37,0	 
different level	different levels	different levels	2	6,29455750551	30,5593004854	197,145504945	3,0	30,0	 
modeling network	network modeling	network modeling	2	6,29455750551	33,1115239248	304,743713565	2,0	9,0	 
assignment problem	assignment problem	assignment problem|&|assignment problems	2	6,29455750551	28,748469137	329,213081312	11,0	103,0	 
assignment solution	assignment solution	assignment solution	2	6,29455750551	33,1115239248	222,558286767	2,0	22,0	 
network transportation	transportation network	transportation network|&|transportation networks|&|network transportation	2	127,464789487	268,101965387	247,829382884	61,0	371,0	 
method solution	solution methods	solution methods	2	6,29455750551	30,5593004854	257,217690808	3,0	16,0	 
system traffic	traffic system	traffic system|&|traffic systems|&|Traffic system	2	20,4573118929	72,737889334	264,082684362	15,0	131,0	 
information system	information systems	information systems|&|information system	2	17,3100331402	65,0210612098	249,753334093	11,0	70,0	 
measurement traffic	traffic measurements	traffic measurements	2	6,29455750551	30,5593004854	759,859552416	3,0	12,0	 
model result	model results	model results|&|model on the results	2	7,86819688189	35,9355864213	223,755164665	4,0	38,0	 
area urban	urban areas	urban areas|&|urban area	2	23,6045906457	76,6072537275	198,750336879	15,0	137,0	 
transportation urban	urban transportation	urban transportation	2	9,44183625827	43,1227037055	214,232331914	5,0	52,0	 
assignment model traffic	traffic assignment model	traffic assignment model|&|traffic assignment models	3	51,6285070053	140,696472337	327,060846126	27,0	270,0	 
optimization particle swarm	particle swarm optimization	particle swarm optimization	3	5,95713542369	27,5356090115	271,429353174	3,0	18,0	 
series time	time series	time series	2	7,86819688189	35,9355864213	245,38498915	4,0	33,0	 
information traffic	traffic information	traffic information|&|information traffic	2	20,4573118929	76,8430723388	224,192426533	12,0	90,0	 
model simulation traffic	traffic simulation model	traffic simulation model|&|traffic simulation models	3	13,8999826553	54,6150205729	336,467213589	6,0	56,0	 
