feedbackDecay,feedbackGamma,feedbackWeight,gravityAlpha,gravityDecay,gravityGamma,gravityWeight,growthRate,id,logmse,mselog
370.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6236,31.654444201339633,346.5644605727635
360.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6235,31.654441478030414,346.56463412843664
340.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6233,31.65443564361599,346.5650079288096
390.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6238,31.654449299444796,346.5641372219106
350.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6234,31.654438628289377,346.5648163674853
330.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6232,31.654432514793044,346.56520951137907
420.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6241,31.654456176082288,346.5637042012364
410.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6240,31.654453978484945,346.5638421978234
500.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6249,31.654470985306432,346.562783377289
320.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6231,31.654429231819957,346.5654218806818
490.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6248,31.654469366214705,346.5628832998192
460.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6245,31.65446414034461,346.56320705430534
450.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6244,31.654462264004845,346.5633237672884
400.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6239,31.654451688186125,346.563986399691
480.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6247,31.65446768787534,346.5629870691628
310.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6230,31.65442578384091,346.565645875838
250.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6224,31.654400895067653,346.5672923500639
290.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6228,31.6544183446999,346.56613251575834
300.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6229,31.65442215906796,346.5658824173888
240.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6223,31.65439589939314,346.5676291862358
210.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6220,31.654379069879596,346.5687795359622
270.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6226,31.654410090400486,346.56667792890283
230.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6222,31.65439061149171,346.56798804830856
280.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6227,31.65441432683795,346.56639728031445
220.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6221,31.65438500941615,346.5683708229088
260.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6225,31.65440561904,346.56697579757514
200.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6219,31.65437276844796,346.56921633573944
180.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6217,31.654358978833876,346.5701831535411
160.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6215,31.65434344317379,346.57128862947053
150.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6214,31.654334968923173,346.57189756765985
130.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6212,31.65431656849347,346.5732280360909
190.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6218,31.654366079899138,346.56968345679684
170.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6216,31.65435144066487,346.57071758587034
140.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6213,31.65432600896083,346.5725445966841
110.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6210,31.654296394598948,346.5746797434023
120.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6211,31.654306675589336,346.5739430705573
50.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6204,31.65424362753663,346.5769658945214
100.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6209,31.654285847033396,346.5754197490037
30.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6202,31.654254640997884,346.57299108106156
70.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6206,31.654255515972253,346.5772199666737
500.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6199,31.654306191960107,346.5618938400244
20.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6201,31.65427102642658,346.5683017163053
60.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6205,31.65424791119494,346.57736480092984
480.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6197,31.654301936199754,346.56208011867113
90.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6208,31.654275244417054,346.5761312916977
10.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6200,31.654233562811875,346.55972967942466
40.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6203,31.654244944484635,346.57567187400826
80.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6207,31.654264940625094,346.57676083946217
460.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6195,31.654297363058387,346.5622807794582
490.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6198,31.654304101715773,346.5619852781553
470.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6196,31.654299691407772,346.56217855122844
450.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6194,31.654294946569948,346.56238702223317
430.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6192,31.654289829194994,346.56261251162607
410.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6190,31.654284295609926,346.5628571319731
440.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6193,31.654292437035433,346.56249751506175
420.0,0.8,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6191,31.654287117405918,346.56273228548866
