evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,logmse
5,0.0,0.08003701661377502,0.0,5580.165694016432,24.978374649397352
5,0.0,0.15501693041383627,0.0,2167.5065002569772,28.748394489119345
5,0.007853048480490862,0.05533988695631585,0.030847934019031003,2821.774395062979,24.466977456148637
5,0.0,0.36005149317452956,0.0,10000.0,31.675504988263693
5,0.0,0.21501276159272523,0.0,10000.0,29.955843417689493
5,0.0,0.4950299780774819,0.0,8989.480207322837,32.74278027467587
5,0.0,0.4350052244327507,0.0,7878.29738149291,32.30428689767953
5,1.7213537545081508E-7,0.20000267099819674,0.0,4620.775989871029,29.7023267279021
5,0.0,0.13002861592576354,0.0,2950.260731724427,27.998146854399867
5,0.0,0.2750346587550303,0.0,2546.1970107830093,30.787507535611198
5,0.0,0.11500492489696687,0.0,10000.0,27.398044390537795
