IRIS;COM;DEP;NBUC11;RFUCQ111;RFUCQ211;RFUCQ311;RFUCIQ11;RFUCD111;RFUCD211;RFUCD311;RFUCD411;RFUCD611;RFUCD711;RFUCD811;RFUCD911;RFUCRD11;RFUCET11;RFUCGI11
751051908;75056;75;1908,9;18219;32164;52172;33953;7273;15270;20975;27234;38114;46055;58376;79941;11,0;64952,16;0,4865
751052001;75056;75;1601,8;17493;31469;56225;38732;8067;14697;20030;25335;37332;48179;65236;99556;12,3;72773,45;0,5124
751052002;75056;75;1072,3;22119;40384;63889;41770;9977;18264;25931;33503;51073;58761;75913;106698;10,7;90257,96;0,5017
751052003;75056;75;1232,4;15346;29216;49664;34318;5263;12917;18799;23845;37551;45992;56683;88705;16,9;87319,91;0,5386
751052004;75056;75;2158,4;17985;33905;59389;41404;7344;14803;21404;27538;41166;53046;65988;98307;13,4;112028,92;0,5450
751052005;75056;75;195,9;15825;24364;37500;21675;;;;;;;;;;;
751062101;75056;75;1204,2;22231;41255;78305;56074;9976;18791;24891;32005;53029;69120;91449;134646;13,5;111139,36;0,5569
751062102;75056;75;1454,6;19071;33751;56319;37248;8056;15831;21852;27595;41892;50166;63800;95303;11,8;77256,04;0,5174
751062103;75056;75;1225,8;17090;33319;65424;48334;7320;14346;20738;26141;42625;55988;76001;114368;15,6;284492,13;0,6286
751062201;75056;75;1081,5;24934;47372;92631;67697;13992;21637;28200;35853;60389;82659;108968;242041;17,3;230837,92;0,6326
751062202;75056;75;1048,8;23455;42198;79749;56294;;;;;;;;;;;
751062203;75056;75;1465,0;19316;36918;65617;46301;9000;16107;22896;28876;45313;55729;78508;117583;13,1;117226,79;0,5489
751062204;75056;75;1647,9;20484;38755;71994;51510;10150;17946;24314;31201;48741;61574;81494;121975;12,0;96151,40;0,5300
751062205;75056;75;;;;;;;;;;;;;;;;
751062301;75056;75;1146,6;25146;43071;73553;48407;11421;21348;27835;34252;51143;66862;86163;138798;12,2;269626,61;0,5958
751062302;75056;75;1104,2;26200;48319;84426;58226;13302;23209;30236;39450;60604;73229;99632;166117;12,5;146559,59;0,5627
751062303;75056;75;1356,0;22984;41565;73727;50743;11235;19141;26329;32754;50216;63391;85990;140079;12,5;128035,37;0,5588
751062304;75056;75;1135,9;25995;48093;88770;62775;14117;21936;30162;38439;61122;78760;99554;149588;10,6;179445,08;0,5602
751062305;75056;75;1526,1;24315;44293;77181;52867;11802;21154;27439;35545;54343;67770;84568;131295;11,1;92124,28;0,5059
751062306;75056;75;1737,0;24675;41818;65327;40652;12354;21077;28449;34857;49079;58844;72452;103214;8,4;122749,94;0,4720
751062307;75056;75;1212,6;25137;42737;70015;44878;13332;21791;28465;35390;51651;62589;78922;119819;9,0;95026,62;0,4881
751062308;75056;75;1952,9;21604;36830;62109;40505;11909;18723;24559;30766;44230;54536;70747;107258;9,0;89899,79;0,5009
751062309;75056;75;1580,9;19292;37609;63756;44464;9210;16002;22555;29892;46549;57809;73695;102689;11,1;61621,55;0,4843
751062310;75056;75;1536,0;21600;40857;85129;63530;10545;18163;23833;31526;54509;70928;98184;143337;13,6;177910,59;0,6064
751062311;75056;75;1145,5;25949;46406;84543;58594;15026;22375;30562;39076;55598;73100;98769;167558;11,2;140564,44;0,5443
751062401;75056;75;1292,5;20724;38462;74167;53443;10108;17579;24211;32344;49328;63212;81027;136333;13,5;149252,64;0,5723
751062402;75056;75;1890,6;19589;39422;75327;55738;9185;16005;22834;29563;50990;63858;86923;147724;16,1;177271,34;0,6064
751072501;75056;75;1365,5;26556;55042;106433;79877;13576;22638;30953;41374;69357;91159;132080;220046;16,2;239254,16;0,6369
751072502;75056;75;1141,8;25210;48827;92339;67129;11754;20861;29286;38430;62278;81419;104499;191346;16,3;193062,33;0,5887
751072503;75056;75;965,5;27573;46913;95373;67800;;;;;;;;;;;
751072504;75056;75;1028,6;23149;45455;94502;71353;;;;;;;;;;;
751072505;75056;75;1236,1;21861;42668;80907;59046;12199;19675;23833;31216;54456;70138;97697;175064;14,4;224376,28;0,6479
