evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,feedbackWeight,feedbackGamma,feedbackDecay,logmse
4994,0.012340553415436736,1.7052188738979606E-4,3.136672002501485,19999.999999550364,0.09074173954770726,9.999999999921444,0.01,31.215793175001163
4994,0.012340553143021349,1.7052189685506144E-4,3.136672440378343,19999.99999991319,0.09074181429585451,9.999999999974545,0.01,31.215793175001163
4994,0.01234055300807334,1.7052190213420572E-4,3.1366725400364945,20000.0,0.09074175360850908,9.999999999954456,0.01,31.215793175001163
4994,0.012340553145905394,1.7052189612803333E-4,3.1366725885902627,19999.999999774038,0.09074181366937088,9.999999999888324,0.01,31.215793175001163
4994,0.012340553159656311,1.7052189417326438E-4,3.136672929115284,19999.999999882155,0.09074174578373143,9.99999999998846,0.01,31.215793175001163
4994,0.012340553002165461,1.7052190264755626E-4,3.1366724054509687,19999.999999673608,0.09074181367254162,9.999999999957888,0.01,31.215793175001163
4994,0.01234055347342948,1.705218854329912E-4,3.1366724075829517,19999.999999620853,0.09074175319788967,9.999999999992262,0.01,31.215793175001163
4994,0.012340553229292974,1.7052189353080016E-4,3.136672296962645,19999.999999804495,0.09074179092297505,9.99999999973176,0.01,31.215793175001163
4994,0.012340553378357627,1.7052188813665285E-4,3.1366724746195938,19999.99999981444,0.0907417861696027,9.999999999977765,0.01,31.215793175001163
4994,0.012340553306751581,1.705218947859679E-4,3.1366719214475953,20000.0,0.09074178695386753,9.999999999689939,0.01,31.215793175001163
4994,0.012340553275821257,1.7052189272909364E-4,3.1366728146562934,19999.999999735905,0.09074173079895667,9.999999999957335,0.01,31.215793175001163
4994,0.01234055323587327,1.7052189617357662E-4,3.136672325596486,19999.999999953456,0.09074173729860405,9.999999999829042,0.01,31.215793175001163
4994,0.012340553430036295,1.7052188489295663E-4,3.1366724049238246,19999.999999974643,0.09074177699681334,9.999999999975808,0.01,31.215793175001163
4994,0.012340553330213187,1.7052189483373513E-4,3.1366725002373137,20000.0,0.0907418611486563,9.999999999980133,0.01,31.215793175001163
4994,0.012340553208880407,1.7052189492449928E-4,3.1366725581003227,19999.999999975964,0.09074178903521134,9.999999999868777,0.01,31.215793175001163
4994,0.012340553190036853,1.705218957349101E-4,3.1366723896478357,19999.99999992454,0.09074171657018335,9.999999999990782,0.01,31.215793175001163
4994,0.012340553178749741,1.705218992710737E-4,3.1366721239545337,19999.999999804073,0.09074176466654618,10.0,0.01,31.215793175001163
4994,0.012340553257956528,1.705218909869918E-4,3.1366723682580897,19999.999999912387,0.0907417707147279,9.999999999944881,0.01,31.215793175001163
4994,0.012340553083345458,1.7052189761965458E-4,3.1366724491805673,20000.0,0.09074176154860857,9.999999999998183,0.01,31.215793175001163
4994,0.01234055323004016,1.7052189595130845E-4,3.1366723782225665,19999.99999980867,0.09074183748758519,9.999999999878222,0.01,31.215793175001163
4994,0.012340553150722812,1.7052189465268825E-4,3.1366731443345377,20000.0,0.09074177188956921,10.0,0.01,31.215793175001163
4994,0.01234055314130656,1.7052189987305327E-4,3.136672794436633,20000.0,0.09074174071568057,9.999999999886192,0.01,31.215793175001163
4994,0.012340553431553748,1.7052188392539382E-4,3.1366724202632565,19999.999999666506,0.09074185266377094,9.999999999985466,0.01,31.215793175001163
4994,0.012340553446895202,1.7052188672174838E-4,3.1366728219300666,19999.999999941487,0.09074188138894687,9.999999999958648,0.01,31.215793175001163
4994,0.01234055295447256,1.7052190305952676E-4,3.1366720761191917,19999.999999996857,0.09074182235370308,10.0,0.01,31.215793175001163
4994,0.01234055314712585,1.705218940352783E-4,3.1366726442334296,19999.999999739975,0.09074177439822338,9.999999999965787,0.01,31.215793175001163
4994,0.012340553008167422,1.7052190147693873E-4,3.1366720535610924,20000.0,0.09074181280225917,10.0,0.01,31.215793175001163
4994,0.01234055298485377,1.7052190491738576E-4,3.136672857537923,19999.999999872845,0.09074183872918729,9.999999999828367,0.01,31.215793175001163
4994,0.012340553307113597,1.705218916621392E-4,3.1366721802564066,19999.999999973872,0.09074183501083286,9.999999999619451,0.01,31.215793175001163
4994,0.012340553274646586,1.7052189132943626E-4,3.1366721760269933,19999.999999851316,0.09074185740139686,9.999999999864551,0.01,31.215793175001163
4994,0.01234055338978051,1.705218857135006E-4,3.136672301982306,19999.99999997882,0.09074175297518383,9.99999999982002,0.01,31.215793175001163
4994,0.012340553379255333,1.7052188700573883E-4,3.136672324222238,19999.999999747477,0.09074177659381198,9.99999999998178,0.01,31.215793175001163
4994,0.012340553642308605,1.7052187833835908E-4,3.136672209575601,19999.999999796,0.09074184841699245,10.0,0.01,31.215793175001163
4994,0.0123405533325244,1.705218919541265E-4,3.136672268614901,19999.999999960255,0.09074178056644486,9.99999999998515,0.01,31.215793175001163
4994,0.012340553367319353,1.705218900923754E-4,3.136672643215185,19999.999999813925,0.09074182715017956,9.999999999959162,0.01,31.215793175001163
4994,0.012340553280703706,1.7052189419827508E-4,3.1366721708476035,19999.999999999894,0.09074184599848131,10.0,0.01,31.215793175001163
4994,0.012340553290952464,1.7052188682648215E-4,3.1366722371222386,19999.999999839627,0.0907418114888447,9.999999999820455,0.01,31.215793175001163
4994,0.012340552891164935,1.7052190977042176E-4,3.1366723655614814,20000.0,0.09074178815445236,10.0,0.01,31.215793175001163
4994,0.012340553191729692,1.7052189500811268E-4,3.1366729413637997,19999.99999994571,0.09074175014021432,9.999999999965992,0.01,31.215793175001163
4994,0.012340553408963405,1.7052188587194723E-4,3.136672313723504,19999.999999684514,0.09074180880230154,10.0,0.01,31.215793175001163
4994,0.012340553059772287,1.7052190368230607E-4,3.1366726114125805,19999.99999996005,0.0907417791725447,9.99999999996368,0.01,31.215793175001163
4994,0.012340553479072524,1.7052188601827337E-4,3.136672352345837,19999.999999651234,0.09074181375984688,9.99999999999764,0.01,31.215793175001163
4994,0.012340553158876374,1.70521894986427E-4,3.136672199940461,19999.999999806227,0.09074179636068445,9.999999999969363,0.01,31.215793175001163
4994,0.012340553157900612,1.7052189580766706E-4,3.13667169940203,20000.0,0.09074178100311689,9.999999999952694,0.01,31.215793175001163
4994,0.0123405531426434,1.7052190127476367E-4,3.13667271433083,20000.0,0.09074179238079344,10.0,0.01,31.215793175001163
4994,0.01234055348639298,1.7052188333393093E-4,3.1366720076461045,19999.99999976463,0.09074176180724292,9.999999999929809,0.01,31.215793175001163
4994,0.012340553439167562,1.7052188609858738E-4,3.1366724223305242,19999.99999976882,0.0907418055897435,9.999999999848484,0.01,31.215793175001163
4994,0.012340553378606074,1.7052188707343294E-4,3.136671998534542,19999.999999746593,0.09074174900887272,9.999999999999638,0.01,31.215793175001163
4994,0.012340552903824182,1.705219073155639E-4,3.136672568161331,19999.99999999194,0.09074179869273358,9.999999999998339,0.01,31.215793175001163
4994,0.012340553356620295,1.705218866939238E-4,3.1366725843886627,20000.0,0.09074181633404127,9.999999999825029,0.01,31.215793175001163
4994,0.01234055305436075,1.7052190095094132E-4,3.136672754106384,19999.999999714313,0.09074181546673096,9.999999999765338,0.01,31.215793175001163
4994,0.012340553113269832,1.7052189839185166E-4,3.136672409678464,19999.999999998403,0.09074175908387982,10.0,0.01,31.215793175001163
4994,0.012340552831222238,1.7052190978460952E-4,3.136672351336916,19999.99999985697,0.09074178516012456,9.999999999960213,0.01,31.215793175001163
4994,0.012340553536629198,1.705218835302957E-4,3.136672062311814,19999.999999938314,0.09074180571375305,9.999999999989013,0.01,31.215793175001163
