accessibility,activesentropy,collcost,constrcost,empentropy,euclpace,expcollab,extdecrepitude,extgrowth,failed,gametype,lambdaacc,realcollab,regionalproba,stability,traveldistance,wantedcollab,withextd
0.7262988664447814,0.9989020160118377,1.0E-4,0.001,0.9969243058566661,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.02402248777222163,33.216461291503165,0.0,false
0.7261960776279287,0.9990750659142678,1.0E-4,0.001,0.9971585393644264,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.023917496006682304,33.23258464464325,0.0,false
0.7261784875522632,0.9989034765571134,1.0E-4,0.001,0.9968555765133457,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.029165040554534595,33.23401288018407,0.0,false
0.7261937020073724,0.9989773412807677,1.0E-4,0.001,0.9970630379986464,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.027595609177288555,33.23225175081691,0.0,false
0.7262951709081689,0.9988955940424145,1.0E-4,0.001,0.996899535148673,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.024853523218107663,33.216973757143,0.0,false
0.7262013070432043,0.9990539017125566,1.0E-4,0.001,0.9971530338780361,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.023343080537074085,33.231885633194615,0.0,false
0.726298866444781,0.9989020160118386,1.0E-4,0.001,0.996924305856667,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.02402248777222154,33.21646129150317,0.0,false
0.7261784875522638,0.9989034765571129,1.0E-4,0.001,0.996855576513347,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.029165040554534463,33.23401288018407,0.0,false
0.7262032086149144,0.9988489595758498,1.0E-4,0.001,0.9966267807743137,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.029082647476960887,33.23027923043114,0.0,false
0.7261784875522621,0.9989034765571134,1.0E-4,0.001,0.9968555765133452,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.02916504055453443,33.23401288018409,0.0,false
0.7262930298225229,0.9988452177750091,1.0E-4,0.001,0.9968074561953267,5.0,0.0,0.0,10.0,0.0,random,0.01,0.0,0.5,0.024241453396115706,33.217012313466164,0.0,false
